,TTM Net EPS,Ticker
2023-02-04,$4.07,TMUS
2023-02-05,$4.07,TMUS
2023-02-06,$4.07,TMUS
2023-02-07,$4.07,TMUS
2023-02-08,$4.07,TMUS
2023-02-09,$4.07,TMUS
2023-02-10,$4.07,TMUS
2023-02-11,$4.07,TMUS
2023-02-12,$4.07,TMUS
2023-02-13,$4.07,TMUS
2023-02-14,$4.07,TMUS
2023-02-15,$4.07,TMUS
2023-02-16,$4.07,TMUS
2023-02-17,$4.07,TMUS
2023-02-18,$4.07,TMUS
2023-02-19,$4.07,TMUS
2023-02-20,$4.07,TMUS
2023-02-21,$4.07,TMUS
2023-02-22,$4.07,TMUS
2023-02-23,$4.07,TMUS
2023-02-24,$4.07,TMUS
2023-02-25,$4.07,TMUS
2023-02-26,$4.07,TMUS
2023-02-27,$4.07,TMUS
2023-02-28,$4.07,TMUS
2023-03-01,$4.07,TMUS
2023-03-02,$4.07,TMUS
2023-03-03,$4.07,TMUS
2023-03-04,$4.07,TMUS
2023-03-05,$4.07,TMUS
2023-03-06,$4.07,TMUS
2023-03-07,$4.07,TMUS
2023-03-08,$4.07,TMUS
2023-03-09,$4.07,TMUS
2023-03-10,$4.07,TMUS
2023-03-11,$4.07,TMUS
2023-03-12,$4.07,TMUS
2023-03-13,$4.07,TMUS
2023-03-14,$4.07,TMUS
2023-03-15,$4.07,TMUS
2022-12-31,$8.03,TROW
2023-01-01,$8.03,TROW
2023-01-02,$8.03,TROW
2023-01-03,$8.03,TROW
2023-01-04,$8.03,TROW
2023-01-05,$8.03,TROW
2023-01-06,$8.03,TROW
2023-01-07,$8.03,TROW
2023-01-08,$8.03,TROW
2023-01-09,$8.03,TROW
2023-01-10,$8.03,TROW
2023-01-11,$8.03,TROW
2023-01-12,$8.03,TROW
2023-01-13,$8.03,TROW
2023-01-14,$8.03,TROW
2023-01-15,$8.03,TROW
2023-01-16,$8.03,TROW
2023-01-17,$8.03,TROW
2023-01-18,$8.03,TROW
2023-01-19,$8.03,TROW
2023-01-20,$8.03,TROW
2023-01-21,$8.03,TROW
2023-01-22,$8.03,TROW
2023-01-23,$8.03,TROW
2023-01-24,$8.03,TROW
2023-01-25,$8.03,TROW
2023-01-26,$8.03,TROW
2023-01-27,$8.03,TROW
2023-01-28,$8.03,TROW
2023-01-29,$8.03,TROW
2023-01-30,$8.03,TROW
2023-01-31,$8.03,TROW
2023-02-01,$8.03,TROW
2023-02-02,$8.03,TROW
2023-02-03,$8.03,TROW
2023-02-04,$8.03,TROW
2023-02-05,$8.03,TROW
2023-02-06,$8.03,TROW
2023-02-07,$8.03,TROW
2023-02-08,$8.03,TROW
2023-02-09,$8.03,TROW
2023-02-10,$8.03,TROW
